YEAR,DOY,WS10M,RH2M,T2M_MAX,T2M_MIN,PRECTOTCORR
1986,49,2.7,57.94,33.04,19.98,0.02
1986,50,3.51,61.15,32.35,18.9,0.7
1986,51,3.29,59.24,30.82,19.01,4.04
1986,52,4.27,61.98,30.47,17.89,1.76
1986,53,4.12,51.7,32.44,14.76,0.0
1986,54,4.09,46.97,32.96,13.68,0.0
1986,55,4.04,39.62,33.06,12.26,0.0
1986,56,4.05,57.36,33.28,15.39,0.0
1986,57,4.49,53.56,33.92,16.9,0.0
1986,58,4.26,48.71,34.03,16.5,0.03
1986,59,4.19,46.34,33.55,13.57,0.0
1986,60,3.7,47.77,33.75,14.17,0.0
1986,61,4.18,49.69,34.24,17.29,0.0
1986,62,4.85,52.46,33.79,16.86,0.0
1986,63,5.31,53.54,33.88,17.73,0.0
1986,64,4.81,48.31,34.16,17.83,0.0
1986,65,4.86,51.1,34.61,17.16,0.0
1986,66,4.82,50.95,35.61,17.05,0.0
1986,67,4.74,49.17,35.08,17.51,0.0
1986,68,5.27,54.13,33.83,17.64,0.0
1986,69,5.24,61.98,33.59,19.38,0.0
1986,70,4.0,59.23,32.41,19.2,3.53
1986,71,3.42,61.96,32.55,18.45,0.03
1986,72,3.14,51.5,34.7,18.12,0.02
1986,73,3.33,45.22,36.34,17.51,0.0
1986,74,4.28,43.82,36.93,17.21,0.0
1986,75,3.81,43.75,37.49,17.47,0.0
1986,76,3.73,42.24,37.38,19.26,0.0
1986,77,3.22,48.49,34.17,19.65,0.25
1986,78,3.55,37.36,37.1,19.78,0.04
1986,79,2.43,39.33,35.74,22.57,0.0
1986,80,3.02,42.63,35.92,21.54,0.0
1986,81,4.07,37.44,37.47,21.23,0.0
1986,82,3.66,39.19,35.72,20.43,0.0
1986,83,2.8,33.46,37.7,20.66,0.0
1986,84,3.84,32.33,37.99,20.94,0.0
1986,85,4.95,42.5,37.63,19.52,0.0
1986,86,4.54,45.55,37.51,19.37,0.0
1986,87,4.32,35.39,38.06,19.31,0.0
1986,88,3.78,30.51,37.81,19.0,0.0
1986,89,3.66,36.61,37.45,20.35,0.01
1986,90,3.42,35.19,37.57,20.37,0.0
1986,91,3.17,41.46,37.89,20.24,0.0
1986,92,3.3,42.34,38.42,20.7,0.0
1986,93,4.35,45.62,37.78,21.39,0.0
1986,94,4.79,41.26,38.47,21.01,0.0
1986,95,4.68,37.65,38.38,18.95,0.0
1986,96,4.17,37.56,38.28,17.46,0.0
1986,97,4.04,42.48,38.19,20.35,0.0
1986,98,3.86,41.66,37.65,19.55,0.0
1986,99,4.07,38.46,37.88,19.86,0.0
1986,100,4.47,36.62,39.02,20.58,0.0
1986,101,4.85,35.83,38.68,21.23,0.0
1986,102,4.55,37.93,38.17,20.34,0.0
1986,103,4.58,39.05,38.17,20.15,0.0
1986,104,4.45,40.75,38.09,19.46,0.0
1986,105,4.25,35.13,38.93,20.04,0.0
1986,106,4.41,34.92,39.34,21.36,0.0
1986,107,2.66,32.1,38.98,21.68,0.0
1986,108,1.99,40.32,34.73,23.88,0.02
1986,109,2.68,41.88,36.18,23.74,0.32
1986,110,3.3,43.37,35.49,21.64,0.0
1986,111,4.67,34.35,37.58,20.45,0.0
1986,112,3.12,38.78,35.77,20.53,0.0
1986,113,3.36,38.53,37.89,21.33,1.54
1986,114,2.91,38.53,38.21,23.04,1.13
1986,115,2.42,47.74,35.42,23.61,0.05
1986,116,2.91,38.45,37.81,21.84,0.0
1986,117,2.75,48.9,35.87,22.99,0.02
1986,118,1.56,58.6,31.24,23.44,1.96
1986,119,2.14,52.52,35.41,22.22,0.13
1986,120,2.98,56.03,34.82,22.35,3.49
1986,121,3.88,58.71,35.63,21.64,13.76
1986,122,2.23,62.88,34.26,21.46,0.68
1986,123,3.0,54.65,34.72,21.28,0.18
1986,124,3.79,53.57,36.64,20.83,0.78
1986,125,3.01,57.47,34.67,21.78,0.04
1986,126,2.58,56.88,34.43,22.78,3.81
1986,127,3.16,52.33,36.12,21.86,0.09
1986,128,3.51,50.06,36.9,21.68,2.23
1986,129,5.5,51.38,37.46,20.81,0.34
1986,130,4.96,46.21,37.69,21.47,0.0
1986,131,3.98,47.1,37.07,21.31,0.0
1986,132,3.34,43.98,36.53,22.49,0.0
1986,133,3.43,45.34,36.73,23.44,0.07
1986,134,3.63,51.5,35.14,23.59,0.57
1986,135,3.96,58.04,32.64,23.17,2.57
1986,136,4.84,57.03,36.27,22.01,1.01
1986,137,5.59,55.28,37.1,21.58,0.24
1986,138,6.08,50.76,38.31,21.27,0.0
1986,139,7.2,50.39,38.28,21.7,0.0
1986,140,6.27,54.84,36.23,22.67,0.01
1986,141,5.66,58.17,31.22,22.98,0.0
1986,142,3.39,49.5,34.97,22.14,0.0
1986,143,2.93,49.27,34.82,22.68,0.0
1986,144,3.82,55.02,36.49,21.46,9.79
1986,145,4.77,61.62,35.19,20.85,4.27
1986,146,4.97,59.57,35.29,20.89,2.79
1986,147,3.81,57.8,34.9,22.11,0.0
1986,148,4.49,54.47,35.25,22.92,0.06
1986,149,4.44,51.28,36.71,22.2,0.03
1986,150,2.4,66.56,30.03,22.53,12.07
1986,151,2.49,71.63,29.03,21.31,0.8
1986,152,2.52,70.18,31.39,19.72,13.25
1986,153,3.3,71.15,31.2,20.86,1.41
1986,154,2.98,71.16,29.63,21.29,0.15
1986,155,3.08,73.5,28.66,21.46,4.41
1986,156,3.23,75.0,28.92,20.33,18.54
1986,157,3.85,74.74,29.6,20.19,3.35
1986,158,3.91,79.66,28.63,20.4,8.49
1986,159,4.78,74.24,30.02,19.19,0.5
1986,160,5.59,71.19,30.12,20.71,0.07
1986,161,5.21,71.57,32.03,20.45,0.01
1986,162,4.37,75.69,30.16,20.65,5.6
1986,163,4.42,73.84,30.62,20.77,0.16
1986,164,4.95,76.47,26.71,20.62,0.06
1986,165,4.12,76.44,31.41,19.03,34.8
1986,166,5.71,79.1,28.86,19.52,1.13
1986,167,7.59,81.19,26.79,20.1,0.71
1986,168,8.77,77.05,28.38,19.99,0.16
1986,169,8.65,74.71,27.44,18.8,0.51
1986,170,7.52,78.41,28.34,19.52,0.23
1986,171,7.95,77.13,27.99,20.3,0.12
1986,172,8.42,77.96,26.74,19.25,0.27
1986,173,7.93,72.31,29.66,18.15,0.05
1986,174,7.82,78.83,26.13,18.67,1.81
1986,175,8.08,74.84,28.03,18.48,1.09
1986,176,8.18,75.48,26.64,19.03,0.41
1986,177,7.54,73.84,28.46,18.75,0.06
1986,178,6.99,76.54,27.31,19.3,0.19
1986,179,7.49,76.18,27.15,17.4,0.41
1986,180,7.48,76.03,28.08,18.92,1.56
1986,181,6.47,73.15,30.08,18.3,2.31
1986,182,5.26,78.51,27.17,19.47,0.32
1986,183,3.72,75.58,28.43,18.95,0.12
1986,184,3.27,73.37,28.55,19.22,1.82
1986,185,4.91,78.48,27.52,18.65,16.57
1986,186,5.65,80.32,27.7,17.97,3.15
1986,187,6.62,72.7,28.2,18.24,0.49
1986,188,7.16,71.71,27.94,18.17,0.03
1986,189,6.26,73.99,27.24,18.11,0.0
1986,190,5.72,70.66,31.11,18.33,0.61
1986,191,5.84,70.11,31.69,18.75,0.06
1986,192,5.34,73.23,30.75,19.8,0.0
1986,193,5.47,79.2,27.2,20.61,0.07
1986,194,6.81,77.98,26.78,19.4,6.68
1986,195,7.94,75.98,26.81,18.96,0.52
1986,196,7.44,76.45,28.26,18.56,2.77
1986,197,7.49,74.51,30.69,19.37,5.59
1986,198,8.99,74.86,28.66,20.03,0.52
1986,199,9.16,71.67,28.97,20.16,0.17
1986,200,7.79,73.06,29.5,19.7,0.86
1986,201,7.23,73.09,30.27,18.94,0.44
1986,202,6.99,75.86,29.44,20.12,8.28
1986,203,7.8,74.36,28.7,19.38,0.38
1986,204,7.61,72.04,30.31,19.34,0.06
1986,205,7.02,72.06,30.05,19.08,0.09
1986,206,6.21,73.05,29.75,19.72,0.03
1986,207,5.33,76.07,27.82,19.36,0.02
1986,208,4.59,78.66,27.52,19.24,0.07
1986,209,5.19,75.07,28.9,19.46,0.0
1986,210,4.66,71.64,29.94,18.57,0.51
1986,211,4.4,68.87,30.92,19.31,0.06
1986,212,4.27,74.35,28.62,19.55,2.07
1986,213,4.42,83.63,26.16,19.83,2.49
1986,214,6.22,73.2,29.18,18.34,2.67
1986,215,6.38,80.91,28.02,18.56,28.43
1986,216,7.36,80.64,26.79,18.52,3.16
1986,217,7.86,84.11,24.74,18.84,10.15
1986,218,8.48,81.25,25.86,18.83,4.03
1986,219,8.91,79.04,28.29,18.64,2.24
1986,220,8.82,78.01,28.95,19.29,7.76
1986,221,8.5,80.77,26.68,18.32,7.98
1986,222,8.63,76.6,28.78,18.79,2.11
1986,223,8.16,77.92,28.02,18.98,2.16
1986,224,9.17,78.6,28.16,19.19,1.25
1986,225,8.64,77.5,28.86,19.12,1.68
1986,226,7.29,75.32,29.34,18.97,0.83
1986,227,5.99,73.45,30.63,18.95,2.15
1986,228,5.17,75.89,30.15,18.81,2.87
1986,229,5.6,71.25,30.72,18.06,0.13
1986,230,5.94,70.03,31.18,18.46,0.0
1986,231,5.8,77.44,27.42,18.63,0.03
1986,232,6.33,71.68,30.76,18.77,0.0
1986,233,6.2,71.22,30.68,18.41,0.15
1986,234,5.87,70.01,31.25,18.48,0.01
1986,235,4.78,69.04,30.15,18.7,0.0
1986,236,2.84,73.5,30.25,20.15,0.0
1986,237,3.36,69.8,30.34,19.66,0.0
1986,238,4.51,68.28,31.22,19.7,1.28
1986,239,3.78,70.28,29.71,19.02,0.11
1986,240,3.09,67.46,31.23,18.96,0.45
1986,241,2.85,68.07,31.28,18.85,0.84
1986,242,3.74,66.89,30.32,19.15,0.15
1986,243,3.39,66.34,30.61,18.65,0.11
1986,244,2.11,67.31,30.82,18.61,0.28
1986,245,1.11,72.53,29.37,19.79,4.21
1986,246,2.24,75.31,28.28,20.28,20.67
1986,247,4.46,70.32,30.46,19.02,1.05
1986,248,5.41,70.55,29.38,18.78,0.14
1986,249,6.26,71.93,30.2,18.49,0.23
1986,250,5.68,73.46,28.46,18.78,4.63
1986,251,6.7,70.5,30.62,18.36,1.36
1986,252,5.64,73.9,27.27,17.99,0.03
1986,253,5.43,73.19,28.25,18.23,0.83
1986,254,4.78,65.92,31.62,16.73,0.06
1986,255,4.1,68.23,31.56,18.46,0.01
1986,256,3.63,65.71,31.91,19.23,0.0
1986,257,2.9,72.36,28.99,19.43,0.0
1986,258,2.24,74.96,29.51,20.54,4.05
1986,259,1.48,84.71,24.99,20.28,4.14
1986,260,3.37,79.69,29.33,19.57,24.57
1986,261,2.99,83.86,27.19,19.35,4.82
1986,262,2.17,71.34,31.47,18.64,2.5
1986,263,1.45,85.22,25.74,21.13,11.62
1986,264,1.88,86.32,26.38,20.69,25.75
1986,265,1.43,83.92,27.75,19.89,58.75
1986,266,4.28,88.09,25.61,20.34,12.27
1986,267,4.74,89.73,24.98,19.73,1.41
1986,268,3.51,89.12,26.07,19.46,60.49
1986,269,3.51,88.94,24.58,19.76,4.71
1986,270,1.74,86.43,27.01,19.02,10.59
1986,271,2.55,90.49,26.0,19.95,22.5
1986,272,1.79,85.0,25.97,19.33,8.58
1986,273,2.49,84.85,27.27,19.92,1.49
1986,274,2.01,85.23,25.62,19.12,3.07
1986,275,2.09,83.19,26.59,20.03,0.47
1986,276,1.93,83.41,26.93,19.0,1.1
1986,277,2.64,88.38,26.18,19.64,0.75
1986,278,2.94,85.17,27.52,19.63,2.62
1986,279,3.08,88.16,25.55,20.14,4.88
1986,280,3.2,89.6,26.03,19.69,28.22
1986,281,3.22,89.36,25.37,19.75,11.87
1986,282,2.4,86.35,27.09,19.66,1.02
1986,283,1.78,82.06,26.85,19.28,0.22
1986,284,3.06,79.2,28.46,17.59,1.96
1986,285,2.97,85.87,27.48,17.99,0.0
1986,286,2.57,82.94,27.62,18.67,0.45
1986,287,2.19,80.6,28.18,18.0,0.28
1986,288,2.57,74.58,28.43,17.53,0.07
1986,289,1.78,69.35,28.72,16.33,0.0
1986,290,2.2,71.52,28.29,16.89,0.56
1986,291,3.22,76.01,27.69,14.79,0.58
1986,292,3.33,76.91,26.99,14.48,0.0
1986,293,3.3,82.22,27.11,15.4,0.04
1986,294,3.32,77.83,27.19,14.58,0.11
1986,295,2.44,83.74,27.19,16.03,0.09
1986,296,2.73,85.78,25.37,17.59,15.57
1986,297,2.94,78.01,26.66,15.61,1.0
1986,298,2.83,78.87,27.11,14.87,0.0
1986,299,2.87,88.66,25.39,17.04,0.41
1986,300,2.24,85.98,25.84,18.35,1.6
1986,301,2.7,86.43,26.72,16.75,0.88
1986,302,3.11,84.31,26.04,17.84,1.4
1986,303,4.17,92.48,23.81,19.33,4.52
1986,304,4.33,88.97,25.09,19.31,2.1
1986,305,2.47,90.19,23.64,19.14,2.87
1986,306,3.63,89.75,23.46,18.17,6.71
1986,307,2.5,86.23,26.75,17.72,3.27
1986,308,1.56,90.94,23.76,19.28,0.44
1986,309,2.27,85.68,27.51,18.51,3.69
1986,310,2.08,89.09,24.62,19.19,20.13
1986,311,2.27,86.77,25.53,18.27,4.36
1986,312,4.0,86.89,26.74,18.51,1.62
1986,313,2.3,84.39,27.72,17.48,0.14
1986,314,2.21,88.16,26.17,18.66,0.06
1986,315,2.2,89.84,25.7,19.69,23.76
1986,316,2.14,82.55,27.94,18.79,3.3
1986,317,1.98,81.67,27.42,17.02,0.02
1986,318,3.28,71.18,26.18,13.25,0.0
1986,319,2.86,64.44,25.94,12.49,0.0
1986,320,1.98,60.78,26.19,12.73,0.0
1986,321,2.41,65.24,26.55,13.72,0.0
1986,322,2.74,74.39,26.26,12.55,0.0
1986,323,3.63,80.31,25.16,13.28,0.0
1986,324,3.59,81.93,24.3,13.58,0.0
1986,325,3.27,82.55,25.02,14.42,0.0
1986,326,3.55,81.44,24.86,15.0,0.02
1986,327,3.16,80.94,25.71,14.12,0.0
1986,328,3.65,78.07,24.64,14.7,0.01
1986,329,3.66,80.85,25.85,14.44,0.47
1986,330,4.27,82.84,26.47,15.97,0.15
1986,331,4.65,80.58,25.15,15.33,0.11
1986,332,4.27,84.24,26.15,15.15,0.17
1986,333,4.5,83.89,26.05,16.9,0.43
1986,334,4.38,83.88,25.4,15.91,0.26
1986,335,5.2,83.94,26.55,16.8,0.55
1986,336,5.1,86.53,24.57,17.71,2.28
1986,337,4.86,78.76,25.64,13.57,0.87
1986,338,3.55,78.03,25.29,12.29,1.04
1986,339,3.83,79.76,25.85,12.6,0.0
1986,340,3.45,75.56,26.89,13.49,0.07
1986,341,3.42,74.2,26.1,9.64,0.16
1986,342,3.48,81.89,27.29,14.58,0.19
1986,343,3.24,80.55,27.99,17.58,0.07
1986,344,2.93,80.79,28.09,18.06,0.01
1986,345,3.36,79.57,27.77,18.18,0.0
1986,346,2.79,79.1,27.69,18.58,0.19
1986,347,2.99,78.7,27.81,17.93,0.19
1986,348,3.28,76.7,28.87,17.72,0.04
1986,349,3.36,73.73,28.7,17.18,0.0
1986,350,3.91,68.97,28.58,16.01,0.0
1986,351,3.98,70.08,28.01,14.53,0.0
1986,352,3.9,72.22,27.26,14.38,0.0
1986,353,4.23,72.75,27.62,13.63,0.0
1986,354,3.8,78.13,28.4,17.11,0.0
1986,355,4.55,75.78,28.63,17.39,0.02
1986,356,4.53,74.86,29.49,17.45,0.06
1986,357,3.59,73.17,29.08,17.13,0.07
1986,358,3.49,72.81,28.08,16.7,0.01
1986,359,3.52,73.02,29.34,16.41,0.0
1986,360,4.36,77.34,27.48,17.45,0.26
1986,361,4.89,74.49,27.81,16.93,0.23
1986,362,4.61,76.7,26.97,16.64,6.13
1986,363,4.16,73.16,27.26,15.23,2.73
1986,364,3.26,67.61,28.39,14.26,0.0
1986,365,2.91,69.05,29.02,15.28,0.0
1987,1,3.24,66.06,28.76,14.79,0.0
1987,2,3.06,62.49,28.17,12.77,0.0
1987,3,4.04,64.34,28.13,11.15,0.0
1987,4,4.03,66.41,27.56,11.78,0.0
1987,5,3.93,63.52,27.91,11.75,0.0
1987,6,3.86,63.93,28.66,12.51,0.0
1987,7,3.41,64.28,28.95,12.81,0.0
1987,8,3.84,70.03,29.01,14.89,0.0
1987,9,3.17,69.66,29.23,16.22,0.0
1987,10,3.03,71.51,29.66,17.1,0.0
1987,11,3.06,74.53,27.87,18.94,0.03
1987,12,3.59,70.65,30.57,18.03,0.03
1987,13,4.7,71.22,29.68,18.02,0.08
1987,14,5.1,74.81,28.02,17.39,1.11
1987,15,4.81,69.66,29.44,16.42,0.82
1987,16,5.05,71.65,26.39,15.51,0.0
1987,17,5.0,69.12,28.69,15.34,0.0
1987,18,5.12,67.94,28.33,15.27,0.0
1987,19,5.36,66.65,28.44,13.88,0.0
1987,20,5.05,66.98,28.57,14.81,0.0
1987,21,4.35,62.22,29.17,13.57,0.0
1987,22,4.29,62.62,30.58,13.86,0.0
1987,23,4.88,63.44,30.24,15.89,0.0
1987,24,5.04,61.72,29.53,14.41,0.0
1987,25,4.32,59.67,30.44,13.71,0.0
1987,26,3.82,58.37,30.44,14.89,0.0
1987,27,4.15,55.24,30.36,13.8,0.0
1987,28,3.14,52.7,30.52,12.79,0.0
1987,29,3.65,46.19,30.77,10.95,0.0
1987,30,4.12,38.17,30.79,10.45,0.0
1987,31,3.8,48.85,30.7,11.51,0.0
1987,32,3.56,47.39,30.44,12.2,0.0
1987,33,3.93,44.53,30.64,13.18,0.0
1987,34,3.16,50.28,30.8,13.01,0.0
1987,35,3.87,46.57,30.49,11.76,0.0
1987,36,5.08,49.0,30.27,13.74,0.0
1987,37,4.82,50.29,30.03,11.89,0.11
1987,38,3.38,53.38,30.33,14.33,0.0
1987,39,3.42,50.73,30.41,13.83,0.0
1987,40,2.87,50.57,29.87,13.18,0.0
1987,41,3.41,46.78,31.35,12.58,0.0
1987,42,4.02,43.85,31.96,11.41,0.0
1987,43,4.19,40.06,32.35,11.58,0.0
1987,44,4.25,41.55,32.27,11.14,0.0
1987,45,2.65,45.59,33.16,11.68,0.0
1987,46,2.15,44.62,33.74,12.28,0.0
1987,47,3.35,50.29,32.89,14.81,0.0
1987,48,3.95,51.13,32.91,15.93,0.0
1987,49,3.83,55.97,32.39,17.65,0.0
1987,50,5.36,57.29,32.12,18.71,0.0
1987,51,4.29,44.53,33.96,16.6,0.0
1987,52,3.48,38.73,33.95,13.22,0.0
1987,53,3.28,40.63,34.0,13.69,0.0
1987,54,3.83,41.86,34.1,14.37,0.0
1987,55,2.57,36.93,34.75,14.22,0.0
1987,56,3.36,37.41,34.75,14.54,0.0
1987,57,3.23,37.43,33.92,15.83,0.0
1987,58,2.2,37.22,33.75,16.99,0.0
1987,59,3.41,40.74,32.65,20.17,0.0
1987,60,3.33,45.2,29.52,19.78,0.0
1987,61,3.48,39.93,33.81,15.9,0.0
1987,62,4.85,36.74,33.64,15.81,0.0
1987,63,4.86,39.13,33.26,13.78,0.0
1987,64,5.03,47.94,34.28,15.9,0.0
1987,65,5.08,40.28,33.71,15.92,0.0
1987,66,4.05,35.46,34.41,13.33,0.0
1987,67,3.86,31.86,34.57,14.08,0.0
1987,68,2.79,30.24,34.58,14.7,0.0
1987,69,3.49,46.12,33.18,16.57,0.0
1987,70,2.96,49.37,31.88,20.83,0.0
1987,71,3.85,41.16,34.18,15.87,0.0
1987,72,3.43,33.75,34.95,16.0,0.43
1987,73,2.47,32.32,35.29,17.16,0.08
1987,74,3.81,53.86,33.02,19.85,0.29
1987,75,1.85,58.65,31.2,21.12,12.2
1987,76,2.15,60.94,32.37,19.03,1.46
1987,77,2.12,52.63,33.62,18.75,0.0
1987,78,1.82,48.2,34.82,20.15,0.23
1987,79,2.48,46.71,34.15,22.59,0.09
1987,80,3.32,43.77,35.44,21.3,0.13
1987,81,4.42,40.22,36.45,20.38,0.0
1987,82,4.84,35.74,35.63,17.32,0.0
1987,83,5.4,31.55,34.82,16.2,0.0
1987,84,4.8,30.63,35.03,16.77,1.53
1987,85,3.7,28.86,35.58,16.39,0.0
1987,86,4.13,32.49,36.98,16.41,0.0
1987,87,4.51,29.22,37.03,17.04,0.0
1987,88,4.56,32.64,37.08,15.68,0.0
1987,89,4.87,40.85,36.48,16.16,0.0
1987,90,4.27,33.09,36.96,16.99,0.0
1987,91,4.27,37.76,36.67,15.8,0.0
1987,92,3.85,32.27,37.11,17.22,0.0
1987,93,3.26,28.22,37.95,18.17,0.0
1987,94,3.81,33.14,38.05,19.18,0.0
1987,95,3.98,36.29,38.01,20.19,0.0
1987,96,4.31,34.96,37.6,21.31,0.0
1987,97,2.61,34.05,38.42,20.19,0.0
1987,98,2.55,34.45,38.04,23.7,0.42
1987,99,3.42,38.12,37.96,22.9,0.01
1987,100,2.82,35.55,38.88,21.38,0.0
1987,101,3.37,34.24,38.03,21.76,0.0
1987,102,1.94,28.07,38.79,21.86,0.0
1987,103,3.6,28.55,38.69,21.65,0.0
1987,104,3.17,34.68,38.98,23.78,0.0
1987,105,5.52,34.79,38.5,24.91,0.0
1987,106,5.28,39.29,37.16,19.5,0.0
1987,107,4.29,37.75,37.39,18.86,0.0
1987,108,3.72,35.6,36.88,19.79,0.0
1987,109,3.71,36.72,34.77,20.9,0.0
1987,110,4.68,40.82,37.61,20.3,0.0
1987,111,4.7,36.51,38.71,20.43,0.0
1987,112,4.94,41.37,38.65,19.35,0.0
1987,113,4.53,44.07,38.31,20.08,0.0
1987,114,2.63,41.85,37.98,22.54,0.1
1987,115,3.72,45.7,37.83,22.87,0.22
1987,116,2.17,52.3,34.35,23.69,0.13
1987,117,3.2,62.56,33.99,22.42,32.46
1987,118,2.65,60.87,34.5,20.74,1.33
1987,119,2.61,60.58,32.12,21.35,0.17
1987,120,2.76,60.11,33.22,20.58,6.01
1987,121,1.86,58.73,33.43,20.57,1.88
1987,122,2.23,57.48,33.83,20.75,0.51
1987,123,3.25,52.33,35.36,20.85,0.03
1987,124,3.64,48.14,35.5,19.58,0.0
1987,125,2.88,42.44,35.49,18.28,0.0
1987,126,1.79,42.54,35.95,18.04,0.0
1987,127,2.23,43.23,36.03,20.4,0.0
1987,128,3.13,38.02,36.97,23.22,0.0
1987,129,3.23,37.77,36.68,20.7,0.0
1987,130,2.89,40.0,34.75,21.47,0.0
1987,131,2.94,43.79,34.49,21.04,0.11
1987,132,2.76,52.9,30.87,22.88,0.2
1987,133,3.01,59.96,29.67,22.69,0.19
1987,134,3.92,47.98,36.23,20.1,2.76
1987,135,2.47,52.18,35.4,21.0,0.15
1987,136,2.86,50.99,33.75,22.42,0.0
1987,137,2.67,46.33,35.78,22.09,0.36
1987,138,2.19,46.75,36.23,22.3,0.26
1987,139,1.7,45.3,33.81,23.85,0.03
1987,140,2.67,62.12,31.85,23.47,43.57
1987,141,1.81,70.96,29.26,21.69,0.3
1987,142,2.1,70.32,29.11,20.93,0.0
1987,143,2.02,62.45,32.27,20.61,1.32
1987,144,2.37,61.73,32.48,20.5,0.43
1987,145,2.74,59.29,34.35,20.89,0.01
1987,146,2.63,58.08,35.1,21.58,0.0
1987,147,3.21,63.19,31.78,22.42,1.69
1987,148,2.25,75.57,27.81,21.6,0.71
1987,149,1.47,74.0,28.85,20.56,6.85
1987,150,1.03,57.72,34.87,20.72,0.79
1987,151,1.42,60.39,34.34,21.96,0.26
1987,152,5.23,67.36,32.68,21.32,0.07
1987,153,5.26,81.77,26.97,22.15,2.23
1987,154,6.0,72.61,30.47,21.24,0.31
1987,155,6.86,72.33,30.36,21.0,0.05
1987,156,7.05,69.93,31.43,21.0,0.08
1987,157,6.95,72.42,29.74,20.74,0.03
1987,158,6.53,73.7,30.84,20.27,0.01
1987,159,6.97,75.72,28.49,21.7,0.09
1987,160,7.36,74.46,29.71,20.7,0.38
1987,161,6.55,74.31,28.97,19.68,10.63
1987,162,5.23,80.41,27.12,20.07,6.51
1987,163,5.87,71.08,31.29,19.7,0.63
1987,164,6.79,72.58,29.77,19.74,0.74
1987,165,6.64,73.53,28.72,19.26,1.3
1987,166,7.21,72.06,30.87,20.72,0.09
1987,167,7.35,71.44,31.08,20.72,0.05
1987,168,6.95,67.82,31.06,21.16,0.04
1987,169,7.13,68.43,33.17,20.74,0.17
1987,170,7.25,69.25,31.13,20.65,0.41
1987,171,8.19,66.56,28.4,20.45,0.05
1987,172,6.41,75.8,26.69,19.1,8.28
1987,173,4.92,76.64,28.04,18.68,0.55
1987,174,3.48,74.72,29.73,19.08,17.14
1987,175,3.95,77.14,30.26,19.67,15.6
1987,176,3.35,76.61,29.64,21.69,0.77
1987,177,3.42,76.47,27.97,21.19,0.07
1987,178,5.24,77.24,30.18,20.56,0.89
1987,179,4.52,75.74,29.93,19.32,5.38
1987,180,4.91,77.19,28.69,20.64,1.51
1987,181,5.34,75.77,30.4,20.15,0.04
1987,182,5.82,83.83,25.1,20.01,4.31
1987,183,6.49,79.24,27.15,19.18,0.23
1987,184,6.41,76.5,28.28,20.01,0.16
1987,185,6.11,77.84,28.22,19.26,0.65
1987,186,6.4,75.52,28.21,18.97,0.05
1987,187,6.91,71.8,30.25,20.01,0.02
1987,188,7.54,70.19,29.48,19.68,0.06
1987,189,7.57,71.49,30.22,17.8,0.34
1987,190,7.47,71.84,29.27,20.51,0.31
1987,191,5.59,74.37,28.64,20.33,0.13
